Name;Sex;Equipment;Age;AgeClass;Division;Bodyweight;Weight_Class;Squat1;Squat2;Squat3;Best_Squat;Bench1;Bench2;Bench3;Best_Bench;Deadlift1;Deadlift2;Deadlift3;Best_Deadlift;Total_Kg;Place;Dots;Country
Eryk Paszkiewicz;M;Wraps;20;20-23;Juniors 20-23;108.4;110;-290;310;-330;310;135;-142.5;-142.5;135;290;305;-320;305;750;1;446.68;Poland
Jakub Koryzna;M;Wraps;44;40-44;Masters 40-49;110.7;125;190;0;0;190;180;190;-197.5;190;200;220;235;235;615;1;363.38;Poland
Mateusz Piórkowski;M;Wraps;29;24-34;Open;82.3;82.5;240;-250;-250;240;160;165;-170;165;-265;-265;-265;0;0;DQ;;Poland
Krystian Burdzy;M;Wraps;22;20-23;Juniors 20-23;73;75;120;135;;135;25;0;0;25;130;0;0;130;290;2;211.74;Poland
Bart³omiej Kowalczyk;M;Wraps;22;20-23;Juniors 20-23;89.3;90;235;247.5;255;255;0;0;0;0;0;0;0;0;255;1;165.54;Poland
Bart³omiej Kowalczyk;M;Wraps;22;20-23;Juniors 20-23;89.3;90;235;247.5;255;255;142.5;147.5;150;150;240;252.5;-257.5;252.5;657.5;1;426.82;Poland
Bart³omiej Kowalczyk;M;Raw;22;20-23;Juniors 20-23;89.3;90;0;0;0;0;0;0;0;0;240;250;-255;250;250;1;162.29;Poland
Dawid Trziszki;M;Raw;30;24-34;Open;89.4;90;0;0;0;0;195;205;-210;205;0;0;0;0;205;2;133.00;Poland
Dawid Trziszki;M;Raw;30;24-34;MPF;89.4;90;0;0;0;0;195;205;-210;205;0;0;0;0;205;1;133.00;Poland
S³awomir Golonka;M;Raw;27;24-34;MPF;87.6;90;0;0;0;0;0;0;0;0;230;250;-260;250;250;1;163.91;Poland
S³awomir Golonka;M;Raw;27;24-34;Open;87.6;90;0;0;0;0;0;0;0;0;230;250;-260;250;250;2;163.91;Poland
Marcin Bala ;M;Raw;25;24-34;Open;82;82.5;0;0;0;0;180;187.5;190;190;0;0;0;0;190;1;129.15;Poland
Krzysztof Pila;M;Raw;28.maj;24-34;MPF;74.4;75;0;0;0;0;-120;120;130;130;0;0;0;0;130;1;93.75;Poland
Krzysztof Pila;M;Raw;28.maj;24-34;Open;74.4;75;0;0;0;0;-120;120;130;130;0;0;0;0;130;1;93.75;Poland
Mateusz Trziszki;M;Raw;25;24-34;Open;65.4;67.5;0;0;0;0;110;117.5;-122.5;117.5;0;0;0;0;117.5;2;92.69;Poland
Mateusz Trziszki;M;Raw;25;24-34;MPF;65.4;67.5;0;0;0;0;110;117.5;-122.5;117.5;0;0;0;0;117.5;1;92.69;Poland
Pawe³ Jab³oñski;M;Wraps;16;16-17;Teen 16-17;66.1;67.5;160;167.5;-172.5;167.5;77.5;85;-90;85;155;162.5;-167.5;162.5;415;1;324.80;Poland
Remigiusz Zolistki;M;Multi-ply;17;16-17;Teen 16-17;101.8;110;0;0;0;0;162.5;170;180;180;0;0;0;0;180;1;109.95;Poland
Remigiusz Zolistki;M;Single-ply;17;16-17;Teen 16-17;101.8;110;0;0;0;0;0;0;0;0;-192.5;-192.5;-192.5;0;0;DQ;;Poland
Mateusz Dziura;M;Wraps;40;40-44;Open;98.2;100;-200;220;-240;220;125;135;-140;135;240;255;270;270;625;5;387.78;Poland
Dariusz Zolistki;M;Raw;46;45-49;Masters 40-49;91.3;100;0;0;0;0;0;0;0;0;170;185;192.5;192.5;192.5;2;123.58;Poland
Dariusz Zolistki;M;Raw;46;45-49;Masters 40-49;91.3;100;0;0;0;0;130;140;142.5;142.5;0;0;0;0;142.5;2;91.48;Poland
Krystian Rudnicki;M;Raw;36;35-39;Open;104.6;110;0;0;0;0;200;210;217.5;217.5;0;0;0;0;217.5;2;131.38;Poland
Kacper Grabowski;M;Raw;18;18-19;Teen 18-19;102.8;110;110;0;0;0;110;115;120;120;0;0;0;0;120;1;73.00;Poland
Marcin Kosut;M;Wraps;33;24-34;Open;90.8;100;260;270;-275;270;170;175;-180;175;260;270;-275;270;715;2;460.28;Poland
Filip Zak¹tek;M;Wraps;15;13-15;Teen 13-15;86.2;90;165;180;-190;180;100;110;115;115;200;-220;220;220;515;1;340.54;Czechia
Miros³aw Janeczek;M;Raw;28;24-34;Open;133;140;0;0;0;0;0;0;0;0;220;250;270;270;270;1;150.16;Poland
Karolina Watarczyk;F;Raw;22;20-23;Juniors 20-23;55.6;56;0;0;0;0;0;0;0;0;100;110;120;120;120;2;139.76;Poland
Jan Cenkiel;M;Raw;72;70-74;Masters 70+;98;100;0;0;0;0;140;-145;147.5;147.5;0;0;0;0;147.5;1;91.60;Poland
Tomasz Trziszki;M;Raw;38;35-39;Open;99.9;100;0;0;0;0;-205;210;-220;210;0;0;0;0;210;1;129.31;Poland
Tomasz Trziszki;M;Raw;38;35-39;MPF;99.9;100;0;0;0;0;-205;210;-220;210;0;0;0;0;210;1;129.31;Poland
Piotr Garbaczewski;M;Raw;23;20-23;Juniors 20-23;97.3;100;140;0;0;0;190;200;-205;200;0;0;0;0;200;1;124.60;Poland
Anna Kubaszewska;F;Raw;26;24-34;Paralympic;56;56;0;0;0;0;65;72.5;-77.5;72.5;0;0;0;0;72.5;1;84.04;Poland
Natalia Wencel;F;Raw;24;24-34;Open;55;56;0;0;0;0;60;-65;-65;60;0;0;0;0;60;1;70.39;Poland
Gracjan Nad¹³;M;Raw;28;24-34;Open;89.8;90;0;0;0;0;165;175;-182.5;175;0;0;0;0;175;9;113.28;Poland
Marek Szokalski;M;Wraps;32;24-34;Open;97.9;100;200;210;222.5;222.5;115;120;125;125;190;200;-210;200;547.5;7;340.15;Poland
Filip Dec;M;Wraps;27;24-34;Open;74.9;75;190;200;212.5;212.5;130;140;-142.5;140;235;247.5;-250;247.5;600;2;430.82;Poland
Norbert Trajer;M;Wraps;21;20-23;Juniors 20-23;96.6;100;200;215;225;225;-137.5;137.5;-142.5;137.5;200;212.5;-217.5;212.5;575;2;359.40;Poland
Kacper Cecko;M;Wraps;23;20-23;Juniors 20-23;87.8;90;120;-150;150;150;90;100;-110;100;180;200;210;210;460;4;301.23;Poland
Nikodem Labuda;M;Wraps;19;18-19;Teen 18-19;88.2;90;210;230;-240;230;120;125;130;130;-230;230;-250;230;590;1;385.45;Poland
Hubert Jaworski;M;Wraps;16;16-17;Teen 16-17;99.3;100;175;-180;180;180;120;-125;125;125;190;195;-205;195;500;1;308.70;Poland
Jakub Karolczyk;M;Wraps;15;13-15;Teen 13-15;73.7;75;-115;115;130;130;75;85;-87.5;85;-150;160;-170;160;375;1;272.09;Poland
Oktawia Lurka;F;Wraps;30;24-34;Open;83.3;90;150;165;182.5;182.5;110;115;-117.5;115;180;192.5;202.5;202.5;500;1;461.92;Poland
Angelika Gryc;F;Raw;16;16-17;Teen 16-17;77.1;82.5;0;0;0;0;0;0;0;0;150;157.5;162.5;162.5;162.5;1;156.01;Poland
Bart³omiej Szaflarski;M;Raw;30;24-34;Open;77.5;82.5;0;0;0;0;0;0;0;0;-220;230;-260;230;230;1;161.65;Poland
S³awomir Milewski;M;Raw;39;35-39;Open;123.6;125;0;0;0;0;0;0;0;0;200;230;-250;230;230;4;130.82;Poland
Krystyna Tomczyk;F;Raw;22;20-23;Juniors 20-23;93.2;90+;0;0;0;0;0;0;0;0;65;70;80;80;80;1;70.25;Czechia
Krystyna Tomczyk;F;Raw;22;20-23;Juniors 20-23;93.2;90+;1;0;0;0;30;-35;-35;30;0;0;0;0;30;1;26.34;Czechia
